levelId,patternId,practiceId,variant,????,?????
advanced,1,1,target,"Were it not for the fact that the deadline is too close, I would finish this project before Friday.",sentence-patterns/bella/advanced/pattern-1/practice-1-target.mp3
advanced,1,1,recommended,"Were it not for the fact that the deadline is too close, I would finish this project before Friday.",sentence-patterns/bella/advanced/pattern-1/practice-1-recommended.mp3
advanced,1,1,idiomatic,"Were it not for the fact that the deadline is too close, I would finish this project before Friday.",sentence-patterns/bella/advanced/pattern-1/practice-1-idiomatic.mp3
advanced,1,1,simple,I need more time for this project.,sentence-patterns/bella/advanced/pattern-1/practice-1-simple.mp3
advanced,1,1,natural,"Were it not for the fact that the deadline is too close, I would finish this project before Friday.",sentence-patterns/bella/advanced/pattern-1/practice-1-natural.mp3
advanced,1,2,target,"Were it not for the fact that my presentation is not clear enough, I would get honest feedback on my presentation.",sentence-patterns/bella/advanced/pattern-1/practice-2-target.mp3
advanced,1,2,recommended,"Were it not for the fact that my presentation is not clear enough, I would get honest feedback on my presentation.",sentence-patterns/bella/advanced/pattern-1/practice-2-recommended.mp3
advanced,1,2,idiomatic,"Were it not for the fact that my presentation is not clear enough, I would get honest feedback on my presentation.",sentence-patterns/bella/advanced/pattern-1/practice-2-idiomatic.mp3
advanced,1,2,simple,I need feedback on my presentation.,sentence-patterns/bella/advanced/pattern-1/practice-2-simple.mp3
advanced,1,2,natural,"Were it not for the fact that my presentation is not clear enough, I would get honest feedback on my presentation.",sentence-patterns/bella/advanced/pattern-1/practice-2-natural.mp3
advanced,1,3,target,"Were it not for the fact that my current apartment is too far from work, I would find a new apartment closer to my office.",sentence-patterns/bella/advanced/pattern-1/practice-3-target.mp3
advanced,1,3,recommended,"Were it not for the fact that my current apartment is too far from work, I would find a new apartment closer to my office.",sentence-patterns/bella/advanced/pattern-1/practice-3-recommended.mp3
advanced,1,3,idiomatic,"Were it not for the fact that my current apartment is too far from work, I would find a new apartment closer to my office.",sentence-patterns/bella/advanced/pattern-1/practice-3-idiomatic.mp3
advanced,1,3,simple,I want an apartment near my office.,sentence-patterns/bella/advanced/pattern-1/practice-3-simple.mp3
advanced,1,3,natural,"Were it not for the fact that my current apartment is too far from work, I would find a new apartment closer to my office.",sentence-patterns/bella/advanced/pattern-1/practice-3-natural.mp3
advanced,1,4,target,"Were it not for the fact that I eat too much takeout, I would learn how to cook healthy meals.",sentence-patterns/bella/advanced/pattern-1/practice-4-target.mp3
advanced,1,4,recommended,"Were it not for the fact that I eat too much takeout, I would learn how to cook healthy meals.",sentence-patterns/bella/advanced/pattern-1/practice-4-recommended.mp3
advanced,1,4,idiomatic,"Were it not for the fact that I eat too much takeout, I would learn how to cook healthy meals.",sentence-patterns/bella/advanced/pattern-1/practice-4-idiomatic.mp3
advanced,1,4,simple,I want to cook healthy meals.,sentence-patterns/bella/advanced/pattern-1/practice-4-simple.mp3
advanced,1,4,natural,"Were it not for the fact that I eat too much takeout, I would learn how to cook healthy meals.",sentence-patterns/bella/advanced/pattern-1/practice-4-natural.mp3
advanced,1,5,target,"Were it not for the fact that I have not been sleeping enough, I would get a good night’s sleep.",sentence-patterns/bella/advanced/pattern-1/practice-5-target.mp3
advanced,1,5,recommended,"Were it not for the fact that I have not been sleeping enough, I would get a good night’s sleep.",sentence-patterns/bella/advanced/pattern-1/practice-5-recommended.mp3
advanced,1,5,idiomatic,"Were it not for the fact that I have not been sleeping enough, I would get a good night’s sleep.",sentence-patterns/bella/advanced/pattern-1/practice-5-idiomatic.mp3
advanced,1,5,simple,I need a good night’s sleep.,sentence-patterns/bella/advanced/pattern-1/practice-5-simple.mp3
advanced,1,5,natural,"Were it not for the fact that I have not been sleeping enough, I would get a good night’s sleep.",sentence-patterns/bella/advanced/pattern-1/practice-5-natural.mp3
advanced,1,6,target,"Were it not for the fact that I feel shy when I speak English, I would improve my English speaking skills.",sentence-patterns/bella/advanced/pattern-1/practice-6-target.mp3
advanced,1,6,recommended,"Were it not for the fact that I feel shy when I speak English, I would improve my English speaking skills.",sentence-patterns/bella/advanced/pattern-1/practice-6-recommended.mp3
advanced,1,6,idiomatic,"Were it not for the fact that I feel shy when I speak English, I would improve my English speaking skills.",sentence-patterns/bella/advanced/pattern-1/practice-6-idiomatic.mp3
advanced,1,6,simple,I want to speak English better.,sentence-patterns/bella/advanced/pattern-1/practice-6-simple.mp3
advanced,1,6,natural,"Were it not for the fact that I feel shy when I speak English, I would improve my English speaking skills.",sentence-patterns/bella/advanced/pattern-1/practice-6-natural.mp3
advanced,1,7,target,"Were it not for the fact that I do not see my parents often enough, I would spend more quality time with my parents.",sentence-patterns/bella/advanced/pattern-1/practice-7-target.mp3
advanced,1,7,recommended,"Were it not for the fact that I do not see my parents often enough, I would spend more quality time with my parents.",sentence-patterns/bella/advanced/pattern-1/practice-7-recommended.mp3
advanced,1,7,idiomatic,"Were it not for the fact that I do not see my parents often enough, I would spend more quality time with my parents.",sentence-patterns/bella/advanced/pattern-1/practice-7-idiomatic.mp3
