levelId,patternId,practiceId,variant,????,?????
intermediate,1,1,target,What I’m really looking for is more time for this project.,sentence-patterns/bella/intermediate/pattern-1/practice-1-target.mp3
intermediate,1,1,recommended,What I’m really looking for is more time for this project.,sentence-patterns/bella/intermediate/pattern-1/practice-1-recommended.mp3
intermediate,1,1,idiomatic,What I’m really looking for is more time for this project.,sentence-patterns/bella/intermediate/pattern-1/practice-1-idiomatic.mp3
intermediate,1,1,simple,I need more time for this project.,sentence-patterns/bella/intermediate/pattern-1/practice-1-simple.mp3
intermediate,1,1,natural,What I’m really looking for is more time for this project.,sentence-patterns/bella/intermediate/pattern-1/practice-1-natural.mp3
intermediate,1,2,target,What I’m really looking for is honest feedback on my presentation.,sentence-patterns/bella/intermediate/pattern-1/practice-2-target.mp3
intermediate,1,2,recommended,What I’m really looking for is honest feedback on my presentation.,sentence-patterns/bella/intermediate/pattern-1/practice-2-recommended.mp3
intermediate,1,2,idiomatic,What I’m really looking for is honest feedback on my presentation.,sentence-patterns/bella/intermediate/pattern-1/practice-2-idiomatic.mp3
intermediate,1,2,simple,I need feedback on my presentation.,sentence-patterns/bella/intermediate/pattern-1/practice-2-simple.mp3
intermediate,1,2,natural,What I’m really looking for is honest feedback on my presentation.,sentence-patterns/bella/intermediate/pattern-1/practice-2-natural.mp3
intermediate,1,3,target,What I’m really looking for is a new apartment closer to my office.,sentence-patterns/bella/intermediate/pattern-1/practice-3-target.mp3
intermediate,1,3,recommended,What I’m really looking for is a new apartment closer to my office.,sentence-patterns/bella/intermediate/pattern-1/practice-3-recommended.mp3
intermediate,1,3,idiomatic,What I’m really looking for is a new apartment closer to my office.,sentence-patterns/bella/intermediate/pattern-1/practice-3-idiomatic.mp3
intermediate,1,3,simple,I want an apartment near my office.,sentence-patterns/bella/intermediate/pattern-1/practice-3-simple.mp3
intermediate,1,3,natural,What I’m really looking for is a new apartment closer to my office.,sentence-patterns/bella/intermediate/pattern-1/practice-3-natural.mp3
intermediate,1,4,target,What I’m really looking for is a simple healthy meal plan.,sentence-patterns/bella/intermediate/pattern-1/practice-4-target.mp3
intermediate,1,4,recommended,What I’m really looking for is a simple healthy meal plan.,sentence-patterns/bella/intermediate/pattern-1/practice-4-recommended.mp3
intermediate,1,4,idiomatic,What I’m really looking for is a simple healthy meal plan.,sentence-patterns/bella/intermediate/pattern-1/practice-4-idiomatic.mp3
intermediate,1,4,simple,I want to cook healthy meals.,sentence-patterns/bella/intermediate/pattern-1/practice-4-simple.mp3
intermediate,1,4,natural,What I’m really looking for is a simple healthy meal plan.,sentence-patterns/bella/intermediate/pattern-1/practice-4-natural.mp3
intermediate,1,5,target,What I’m really looking for is a good night’s sleep.,sentence-patterns/bella/intermediate/pattern-1/practice-5-target.mp3
intermediate,1,5,recommended,What I’m really looking for is a good night’s sleep.,sentence-patterns/bella/intermediate/pattern-1/practice-5-recommended.mp3
intermediate,1,5,idiomatic,What I’m really looking for is a good night’s sleep.,sentence-patterns/bella/intermediate/pattern-1/practice-5-idiomatic.mp3
