levelId,patternId,practiceId,variant,????,?????
basic,1,1,target,What I want is a quiet weekend at home with my family.,sentence-patterns/bella/basic/pattern-1/practice-1-target.mp3
basic,1,1,recommended,What I want is a quiet weekend at home with my family.,sentence-patterns/bella/basic/pattern-1/practice-1-recommended.mp3
basic,1,1,idiomatic,What I’d really like is a quiet weekend at home with my family.,sentence-patterns/bella/basic/pattern-1/practice-1-idiomatic.mp3
basic,1,1,simple,I want a quiet weekend at home with my family.,sentence-patterns/bella/basic/pattern-1/practice-1-simple.mp3
basic,1,1,natural,What I want is a peaceful weekend at home with my family.,sentence-patterns/bella/basic/pattern-1/practice-1-natural.mp3
basic,1,2,target,What I need is more time to finish this project before the deadline.,sentence-patterns/bella/basic/pattern-1/practice-2-target.mp3
basic,1,2,recommended,What I need is more time to finish this project before the deadline.,sentence-patterns/bella/basic/pattern-1/practice-2-recommended.mp3
basic,1,2,idiomatic,What I really need is extra time to wrap up this project before the deadline.,sentence-patterns/bella/basic/pattern-1/practice-2-idiomatic.mp3
basic,1,2,simple,I need more time to finish this project before the deadline.,sentence-patterns/bella/basic/pattern-1/practice-2-simple.mp3
basic,1,2,natural,What I need is more time to get this project done before the deadline.,sentence-patterns/bella/basic/pattern-1/practice-2-natural.mp3
basic,1,3,target,What I want is someone who truly understands my feelings.,sentence-patterns/bella/basic/pattern-1/practice-3-target.mp3
basic,1,3,recommended,What I want is someone who truly understands my feelings.,sentence-patterns/bella/basic/pattern-1/practice-3-recommended.mp3
basic,1,3,idiomatic,What I’m looking for is someone who truly gets how I feel.,sentence-patterns/bella/basic/pattern-1/practice-3-idiomatic.mp3
basic,1,3,simple,I want someone who understands my feelings.,sentence-patterns/bella/basic/pattern-1/practice-3-simple.mp3
basic,1,3,natural,What I want is someone who really understands my feelings.,sentence-patterns/bella/basic/pattern-1/practice-3-natural.mp3
basic,1,4,target,What I need is a reliable car that doesn’t break down often.,sentence-patterns/bella/basic/pattern-1/practice-4-target.mp3
basic,1,4,recommended,What I need is a reliable car that doesn’t break down often.,sentence-patterns/bella/basic/pattern-1/practice-4-recommended.mp3
basic,1,4,idiomatic,What I need is a dependable car that won’t keep breaking down.,sentence-patterns/bella/basic/pattern-1/practice-4-idiomatic.mp3
